court_num,circuit_num,end_year,start_year,judge_name,year,name_perm
1036,10,2022.0,2003.0,"Brack, Robert C.",0,ROBERT C BRACK
1088,7,2022.0,2019.0,"Brady, Holly Ann",0,HOLLY ANN BRADY
1079,5,2017.0,2000.0,"Brady, James J.",0,JAMES J BRADY
1103,5,2022.0,1991.0,"Bramlette, David C.",0,DAVID C BRAMLETTE
1065,2,2010.0,1974.0,"Bramwell, Henry",0,HENRY  BRAMWELL
11,11,2022.0,2018.0,"Branch, Elizabeth Lee",0,ELIZABETH LEE BRANCH
1081,3,2022.0,2012.0,"Brann, Matthew William",0,MATTHEW WILLIAM BRANN
1028,8,2022.0,2018.0,"Brasel, Nancy Ellen",0,NANCY ELLEN BRASEL
1076,11,2020.0,2019.0,"Brasher, Andrew Lynn",0,ANDREW LYNN BRASHER
11,11,2022.0,2020.0,"Brasher, Andrew Lynn",0,ANDREW LYNN BRASHER
1036,10,2002.0,1964.0,"Bratton, Howard C.",0,HOWARD C BRATTON
1025,4,2022.0,2010.0,"Bredar, James Kelleher",0,JAMES KELLEHER BREDAR
1119,6,2022.0,2003.0,"Breen, J. Daniel",0,J DANIEL BREEN
7,7,2022.0,2018.0,"Brennan, Michael Brian",0,MICHAEL BRIAN BRENNAN
9,9,2022.0,2019.0,"Bress, Daniel Aaron",0,DANIEL AARON BRESS
1093,10,2003.0,1979.0,"Brett, Thomas Rutherford",0,THOMAS RUTHERFORD BRETT
1097,9,2012.0,1984.0,"Brewster, Rudi M.",0,RUDI M BREWSTER
1084,9,2022.0,1997.0,"Breyer, Charles R.",0,CHARLES R BREYER
99,99,2022.0,1994.0,"Breyer, Stephen Gerald",0,STEPHEN GERALD BREYER
1104,2,2022.0,2011.0,"Briccetti, Vincent Louis",0,VINCENT LOUIS BRICCETTI
1104,2,2008.0,1971.0,"Brieant, Charles L., Jr.",0,CHARLES L BRIEANT
8,8,2016.0,1968.0,"Bright, Myron H.",0,MYRON H BRIGHT
1056,10,2014.0,1975.0,"Brimmer, Clarence Addison, Jr.",0,CLARENCE ADDISON BRIMMER
1009,10,2022.0,2008.0,"Brimmer, Philip A.",0,PHILIP A BRIMMER
1072,4,2022.0,1993.0,"Brinkema, Leonie M.",0,LEONIE M BRINKEMA
1120,5,2022.0,1994.0,"Briones, David",0,DAVID  BRIONES
10,10,2022.0,1995.0,"Briscoe, Mary Beck",0,MARY BECK BRISCOE
1066,4,2022.0,1980.0,"Britt, William Earl",0,WILLIAM EARL BRITT
1006,9,2022.0,2018.0,"Brnovich, Susan Marie",0,SUSAN MARIE BRNOVICH
1095,4,2006.0,1996.0,"Broadwater, W. Craig",0,W CRAIG BROADWATER
1068,3,2000.0,1971.0,"Broderick, Raymond Joseph",0,RAYMOND JOSEPH BRODERICK
1104,2,2022.0,2013.0,"Broderick, Vernon Speede",0,VERNON SPEEDE BRODERICK
1065,2,2022.0,2012.0,"Brodie, Margo Kitsy",0,MARGO KITSY BRODIE
1068,3,2022.0,1992.0,"Brody, Anita Blumstein",0,ANITA BLUMSTEIN BRODY
1024,1,2000.0,1991.0,"Brody, Morton Aaron",0,MORTON AARON BRODY
1108,8,2022.0,2014.0,"Brooks, Timothy Lloyd",0,TIMOTHY LLOYD BROOKS
1021,10,2022.0,2018.0,"Broomes, John Wesley",0,JOHN WESLEY BROOMES
1006,9,2014.0,1985.0,"Broomfield, Robert Cameron",0,ROBERT CAMERON BROOMFIELD
10,10,2022.0,1988.0,"Brorby, Wade",0,WADE  BRORBY
1035,3,2014.0,1975.0,"Brotman, Stanley Seymour",0,STANLEY SEYMOUR BROTMAN
1094,5,2022.0,2019.0,"Brown, Ada Elene",0,ADA ELENE BROWN
1041,9,2022.0,1999.0,"Brown, Anna J.",0,ANNA J BROWN
1090,5,2022.0,2013.0,"Brown, Debra Marie",0,DEBRA MARIE BROWN
1035,3,2012.0,1985.0,"Brown, Garrett E., Jr.",0,GARRETT E BROWN
1065,2,2022.0,2019.0,"Brown, Gary Richard",0,GARY RICHARD BROWN
12,12,2017.0,2005.0,"Brown, Janice Rogers",0,JANICE ROGERS BROWN
1106,5,2022.0,2019.0,"Brown, Jeffrey Vincent",0,JEFFREY VINCENT BROWN
1086,11,2022.0,2018.0,"Brown, Michael Lawrence",0,MICHAEL LAWRENCE BROWN
1061,5,2022.0,2011.0,"Brown, Nannette Jolivette",0,NANNETTE JOLIVETTE BROWN
1071,5,2012.0,1985.0,"Brown, Paul Neeley",0,PAUL NEELEY BROWN
1021,10,2012.0,1962.0,"Brown, Wesley Ernest",0,WESLEY ERNEST BROWN
1036,10,2022.0,2003.0,"Browning, James O.",0,JAMES O BROWNING
9,9,2012.0,1961.0,"Browning, James Robert",0,JAMES ROBERT BROWNING
1006,9,2008.0,1984.0,"Browning, William Docker",0,WILLIAM DOCKER BROWNING
1003,7,2022.0,2013.0,"Bruce, Colin Stirling",0,COLIN STIRLING BRUCE
9,9,2009.0,1985.0,"Brunetti, Melvin T.",0,MELVIN T BRUNETTI
1072,4,2019.0,1971.0,"Bryan, Albert Vickers, Jr.",0,ALBERT VICKERS BRYAN
1122,9,2022.0,1986.0,"Bryan, Robert Jensen",0,ROBERT JENSEN BRYAN
1012,2,2022.0,2007.0,"Bryant, Vanessa Lynne",0,VANESSA LYNNE BRYANT
